State,Rank,Population
California,1,"39,250,017"
Texas,2,"27,862,596"
Florida,3,"20,612,439"
New York,4,"19,745,289"
Illinois,5,"12,801,539"
Pennsylvania,6,"12,784,227"
Ohio,7,"11,614,373"
Georgia,8,"10,310,371"
North Carolina,9,"10,146,788"
Michigan,10,"9,928,300"
New Jersey,11,"8,944,469"
Virginia,12,"8,411,808"
Washington,13,"7,288,000"
Arizona,14,"6,931,071"
Massachusetts,15,"6,811,779"
Tennessee,16,"6,651,194"
Indiana,17,"6,633,053"
Missouri,18,"6,093,000"
Maryland,19,"6,016,447"
Wisconsin,20,"5,778,708"
Colorado,21,"5,540,545"
Minnesota,22,"5,519,952"
South Carolina,23,"4,961,119"
Alabama,24,"4,863,300"
Louisiana,25,"4,681,666"
Kentucky,26,"4,436,974"
Oregon,27,"4,093,465"
Oklahoma,28,"3,923,561"
Connecticut,29,"3,576,452"
Iowa,30,"3,134,693"
Utah,31,"3,051,217"
Mississippi,32,"2,988,726"
Arkansas,33,"2,988,248"
Nevada,34,"2,940,058"
Kansas,35,"2,907,289"
New Mexico,36,"2,081,015"
Nebraska,37,"1,907,116"
West Virginia,38,"1,831,102"
Idaho,39,"1,683,140"
Hawaii,40,"1,428,557"
New Hampshire,41,"1,334,795"
Maine,42,"1,331,479"
Rhode Island,43,"1,056,426"
Montana,44,"1,042,520"
Delaware,45,"952,065"
South Dakota,46,"865,454"
North Dakota,47,"757,952"
Alaska,48,"741,894"
Vermont,49,"624,594"
Wyoming,50,"585,501"
